	ANI	Aligned kmers	Total kmers	Query sample ID	Reference sample ID	Query hybrid contig ID	Reference hybrid contig ID	Alignment fraction
13	73.5823	1	43	MGH193	MGH121	contig000004	contig000009	0.0232558139534883
14	100.0	4	4	MGH193	MGH193	contig000005	contig000005	1.0
14	100.0	4	4	MGH193	MGH193	contig000005	contig000005	1.0
15	93.0071	2	4	MGH193	MGH89	contig000005	contig000003	0.5
15	93.0071	2	4	MGH193	MGH89	contig000005	contig000003	0.5
16	90.7403	4	4	MGH193	MGH113	contig000005	contig000005	1.0
16	90.7403	4	4	MGH193	MGH113	contig000005	contig000005	1.0
17	90.2423	1	4	MGH193	MGH3	contig000005	contig000008	0.25
17	90.2423	1	4	MGH193	MGH3	contig000005	contig000008	0.25
18	89.1456	1	4	MGH193	BIDMC100	contig000005	contig000006	0.25
18	89.1456	1	4	MGH193	BIDMC100	contig000005	contig000006	0.25
19	88.7984	3	4	MGH193	BIDMC87	contig000005	contig000002	0.75
19	88.7984	3	4	MGH193	BIDMC87	contig000005	contig000002	0.75
20	88.2613	1	4	MGH193	MGH121	contig000005	contig000010	0.25
20	88.2613	1	4	MGH193	MGH121	contig000005	contig000010	0.25
21	87.7574	1	4	MGH193	UCI187	contig000005	contig000005	0.25
21	87.7574	1	4	MGH193	UCI187	contig000005	contig000005	0.25
22	87.7542	2	4	MGH193	UCI193	contig000005	contig000002	0.5
22	87.7542	2	4	MGH193	UCI193	contig000005	contig000002	0.5
23	87.1507	2	4	MGH193	MGH121	contig000005	contig000006	0.5
23	87.1507	2	4	MGH193	MGH121	contig000005	contig000006	0.5
24	85.0949	1	4	MGH193	BIDMC87	contig000005	contig000003	0.25
24	85.0949	1	4	MGH193	BIDMC87	contig000005	contig000003	0.25
25	83.8714	2	4	MGH193	MGH39	contig000005	contig000002	0.5
25	83.8714	2	4	MGH193	MGH39	contig000005	contig000002	0.5
26	81.9597	2	4	MGH193	BWH50	contig000005	contig000003	0.5
26	81.9597	2	4	MGH193	BWH50	contig000005	contig000003	0.5
27	81.9365	2	4	MGH193	MGH89	contig000005	contig000002	0.5
27	81.9365	2	4	MGH193	MGH89	contig000005	contig000002	0.5
28	81.4479	2	4	MGH193	MGH103	contig000005	contig000005	0.5
28	81.4479	2	4	MGH193	MGH103	contig000005	contig000005	0.5
29	81.0401	2	4	MGH193	UCI75	contig000005	contig000006	0.5
29	81.0401	2	4	MGH193	UCI75	contig000005	contig000006	0.5
30	81.0401	2	4	MGH193	BIDMC100	contig000005	contig000007	0.5
30	81.0401	2	4	MGH193	BIDMC100	contig000005	contig000007	0.5
31	80.8022	2	4	MGH193	MGH113	contig000005	contig000007	0.5
31	80.8022	2	4	MGH193	MGH113	contig000005	contig000007	0.5
32	80.5578	2	4	MGH193	UCI193	contig000005	contig000004	0.5
32	80.5578	2	4	MGH193	UCI193	contig000005	contig000004	0.5
33	79.7842	2	4	MGH193	BWH56	contig000005	contig000002	0.5
33	79.7842	2	4	MGH193	BWH56	contig000005	contig000002	0.5
34	79.7842	2	4	MGH193	BWH57	contig000005	contig000002	0.5
34	79.7842	2	4	MGH193	BWH57	contig000005	contig000002	0.5
35	79.6233	2	4	MGH193	MGH103	contig000005	contig000004	0.5
35	79.6233	2	4	MGH193	MGH103	contig000005	contig000004	0.5
36	79.2265	2	4	MGH193	UCI105	contig000005	contig000008	0.5
36	79.2265	2	4	MGH193	UCI105	contig000005	contig000008	0.5
37	77.54	2	4	MGH193	MGH3	contig000005	contig000007	0.5
37	77.54	2	4	MGH193	MGH3	contig000005	contig000007	0.5
38	73.3582	1	4	MGH193	MGH121	contig000005	contig000009	0.25
38	73.3582	1	4	MGH193	MGH121	contig000005	contig000009	0.25
39	100.0	82	83	MGH1	MGH1	contig000002	contig000002	0.9879518072289156
39	100.0	82	83	MGH1	MGH1	contig000002	contig000002	0.9879518072289156
40	99.9972	82	83	MGH1	MGH6	contig000002	contig000002	0.9879518072289156
40	99.9972	82	83	MGH1	MGH6	contig000002	contig000002	0.9879518072289156
41	99.0528	37	83	MGH1	BIDMC82	contig000002	contig000004	0.4457831325301205
41	99.0528	37	83	MGH1	BIDMC82	contig000002	contig000004	0.4457831325301205
42	98.4367	49	83	MGH1	BIDMC19A	contig000002	contig000002	0.5903614457831325
42	98.4367	49	83	MGH1	BIDMC19A	contig000002	contig000002	0.5903614457831325
43	97.3284	4	83	MGH1	MGH105	contig000002	contig000005	0.0481927710843373
43	97.3284	4	83	MGH1	MGH105	contig000002	contig000005	0.0481927710843373
44	96.2318	45	83	MGH1	UCI93	contig000002	contig000002	0.5421686746987951
44	96.2318	45	83	MGH1	UCI93	contig000002	contig000002	0.5421686746987951
45	95.1248	26	83	MGH1	UCI105	contig000002	contig000005	0.3132530120481928
45	95.1248	26	83	MGH1	UCI105	contig000002	contig000005	0.3132530120481928
46	94.8238	25	83	MGH1	UCI75	contig000002	contig000004	0.3012048192771084
46	94.8238	25	83	MGH1	UCI75	contig000002	contig000004	0.3012048192771084
47	93.2716	9	83	MGH1	MGH113	contig000002	contig000004	0.108433734939759
47	93.2716	9	83	MGH1	MGH113	contig000002	contig000004	0.108433734939759
48	73.6742	1	83	MGH1	BIDMC82	contig000002	contig000007	0.0120481927710843
48	73.6742	1	83	MGH1	BIDMC82	contig000002	contig000007	0.0120481927710843
49	73.6742	1	83	MGH1	BWH50	contig000002	contig000005	0.0120481927710843
49	73.6742	1	83	MGH1	BWH50	contig000002	contig000005	0.0120481927710843
50	100.0	169	171	MGH214	MGH214	contig000002	contig000002	0.9883040935672516
50	100.0	169	171	MGH214	MGH214	contig000002	contig000002	0.9883040935672516
51	97.2077	139	171	MGH214	BIDMC100	contig000002	contig000002	0.8128654970760234
51	97.2077	139	171	MGH214	BIDMC100	contig000002	contig000002	0.8128654970760234
52	73.8147	1	171	MGH214	BWH50	contig000002	contig000006	0.0058479532163742
52	73.8147	1	171	MGH214	BWH50	contig000002	contig000006	0.0058479532163742
53	100.0	108	108	UCI148	UCI148	contig000002	contig000002	1.0
53	100.0	108	108	UCI148	UCI148	contig000002	contig000002	1.0
54	99.3514	58	108	UCI148	MGH281	contig000002	contig000003	0.5370370370370371
54	99.3514	58	108	UCI148	MGH281	contig000002	contig000003	0.5370370370370371
55	99.3514	58	108	UCI148	MGH279	contig000002	contig000003	0.5370370370370371
55	99.3514	58	108	UCI148	MGH279	contig000002	contig000003	0.5370370370370371
56	99.1562	64	108	UCI148	MGH240	contig000002	contig000002	0.5925925925925926
56	99.1562	64	108	UCI148	MGH240	contig000002	contig000002	0.5925925925925926
57	98.7515	57	108	UCI148	MGH83	contig000002	contig000004	0.5277777777777778
57	98.7515	57	108	UCI148	MGH83	contig000002	contig000004	0.5277777777777778
58	98.7424	57	108	UCI148	MGH39	contig000002	contig000003	0.5277777777777778
58	98.7424	57	108	UCI148	MGH39	contig000002	contig000003	0.5277777777777778
59	98.7229	58	108	UCI148	MGH105	contig000002	contig000003	0.5370370370370371
59	98.7229	58	108	UCI148	MGH105	contig000002	contig000003	0.5370370370370371
60	98.6031	59	108	UCI148	MGH283	contig000002	contig000002	0.5462962962962963
60	98.6031	59	108	UCI148	MGH283	contig000002	contig000002	0.5462962962962963
61	97.8146	65	108	UCI148	UCI147	contig000002	contig000002	0.6018518518518519
61	97.8146	65	108	UCI148	UCI147	contig000002	contig000002	0.6018518518518519
62	97.5902	64	108	UCI148	MGH281c	contig000002	contig000002	0.5925925925925926
62	97.5902	64	108	UCI148	MGH281c	contig000002	contig000002	0.5925925925925926
63	97.2293	64	108	UCI148	MGH14	contig000002	contig000003	0.5925925925925926
63	97.2293	64	108	UCI148	MGH14	contig000002	contig000003	0.5925925925925926
64	97.1111	67	108	UCI148	MGH197	contig000002	contig000003	0.6203703703703703
64	97.1111	67	108	UCI148	MGH197	contig000002	contig000003	0.6203703703703703
65	97.0888	69	108	UCI148	MGH3	contig000002	contig000002	0.6388888888888888
65	97.0888	69	108	UCI148	MGH3	contig000002	contig000002	0.6388888888888888
66	96.8016	46	108	UCI148	MGH15	contig000002	contig000003	0.4259259259259259
66	96.8016	46	108	UCI148	MGH15	contig000002	contig000003	0.4259259259259259
67	100.0	199	199	MGH39	MGH39	contig000002	contig000002	1.0
67	100.0	199	199	MGH39	MGH39	contig000002	contig000002	1.0
68	98.1119	128	199	MGH39	UCI187	contig000002	contig000002	0.6432160804020101
68	98.1119	128	199	MGH39	UCI187	contig000002	contig000002	0.6432160804020101
69	96.7849	122	199	MGH39	UCI75	contig000002	contig000002	0.6130653266331658
69	96.7849	122	199	MGH39	UCI75	contig000002	contig000002	0.6130653266331658
70	96.5826	123	199	MGH39	UCI105	contig000002	contig000002	0.6180904522613065
70	96.5826	123	199	MGH39	UCI105	contig000002	contig000002	0.6180904522613065
71	83.7828	3	199	MGH39	MGH193	contig000002	contig000005	0.0150753768844221
71	83.7828	3	199	MGH39	MGH193	contig000002	contig000005	0.0150753768844221
72	73.5143	2	199	MGH39	MGH103	contig000002	contig000005	0.0100502512562814
72	73.5143	2	199	MGH39	MGH103	contig000002	contig000005	0.0100502512562814
73	73.4917	1	199	MGH39	MGH121	contig000002	contig000010	0.0050251256281407
73	73.4917	1	199	MGH39	MGH121	contig000002	contig000010	0.0050251256281407
74	73.4917	1	199	MGH39	BIDMC100	contig000002	contig000006	0.0050251256281407
74	73.4917	1	199	MGH39	BIDMC100	contig000002	contig000006	0.0050251256281407
75	73.4917	1	199	MGH39	MGH3	contig000002	contig000008	0.0050251256281407
75	73.4917	1	199	MGH39	MGH3	contig000002	contig000008	0.0050251256281407
76	73.4469	1	199	MGH39	UCI105	contig000002	contig000009	0.0050251256281407
76	73.4469	1	199	MGH39	UCI105	contig000002	contig000009	0.0050251256281407
77	100.0	120	120	MGH39	MGH39	contig000003	contig000003	1.0
77	100.0	120	120	MGH39	MGH39	contig000003	contig000003	1.0
78	99.987	113	120	MGH39	MGH83	contig000003	contig000004	0.9416666666666668
78	99.987	113	120	MGH39	MGH83	contig000003	contig000004	0.9416666666666668
79	99.8751	92	120	MGH39	MGH105	contig000003	contig000003	0.7666666666666667
79	99.8751	92	120	MGH39	MGH105	contig000003	contig000003	0.7666666666666667
80	99.6022	94	120	MGH39	MGH283	contig000003	contig000002	0.7833333333333333
80	99.6022	94	120	MGH39	MGH283	contig000003	contig000002	0.7833333333333333
81	99.261	69	120	MGH39	MGH281	contig000003	contig000003	0.575
81	99.261	69	120	MGH39	MGH281	contig000003	contig000003	0.575
82	99.261	69	120	MGH39	MGH279	contig000003	contig000003	0.575
82	99.261	69	120	MGH39	MGH279	contig000003	contig000003	0.575
83	99.1671	102	120	MGH39	MGH281c	contig000003	contig000002	0.85
83	99.1671	102	120	MGH39	MGH281c	contig000003	contig000002	0.85
84	98.4393	58	120	MGH39	UCI148	contig000003	contig000002	0.4833333333333333
84	98.4393	58	120	MGH39	UCI148	contig000003	contig000002	0.4833333333333333
85	98.232	66	120	MGH39	MGH3	contig000003	contig000002	0.55
85	98.232	66	120	MGH39	MGH3	contig000003	contig000002	0.55
86	97.8624	67	120	MGH39	MGH14	contig000003	contig000003	0.5583333333333333
86	97.8624	67	120	MGH39	MGH14	contig000003	contig000003	0.5583333333333333
87	97.7114	69	120	MGH39	MGH197	contig000003	contig000003	0.575
87	97.7114	69	120	MGH39	MGH197	contig000003	contig000003	0.575
88	96.9807	62	120	MGH39	MGH15	contig000003	contig000003	0.5166666666666667
88	96.9807	62	120	MGH39	MGH15	contig000003	contig000003	0.5166666666666667
89	96.6307	71	120	MGH39	UCI147	contig000003	contig000002	0.5916666666666667
89	96.6307	71	120	MGH39	UCI147	contig000003	contig000002	0.5916666666666667
90	96.0829	60	120	MGH39	MGH240	contig000003	contig000002	0.5
90	96.0829	60	120	MGH39	MGH240	contig000003	contig000002	0.5
91	84.3624	3	120	MGH39	MGH105	contig000003	contig000005	0.025
91	84.3624	3	120	MGH39	MGH105	contig000003	contig000005	0.025
92	100.0	66	66	MGH39	MGH39	contig000004	contig000004	1.0
92	100.0	66	66	MGH39	MGH39	contig000004	contig000004	1.0
93	81.5379	49	66	MGH39	BIDMC108	contig000004	contig000002	0.7424242424242424
93	81.5379	49	66	MGH39	BIDMC108	contig000004	contig000002	0.7424242424242424
94	100.0	310	312	MGH15	MGH15	contig000002	contig000002	0.9935897435897436
94	100.0	310	312	MGH15	MGH15	contig000002	contig000002	0.9935897435897436
95	99.8817	248	312	MGH15	UCI193	contig000002	contig000002	0.7948717948717948
95	99.8817	248	312	MGH15	UCI193	contig000002	contig000002	0.7948717948717948
96	99.8669	283	312	MGH15	MGH197	contig000002	contig000002	0.907051282051282
96	99.8669	283	312	MGH15	MGH197	contig000002	contig000002	0.907051282051282
97	99.7686	250	312	MGH15	BIDMC82	contig000002	contig000002	0.8012820512820513
97	99.7686	250	312	MGH15	BIDMC82	contig000002	contig000002	0.8012820512820513
98	99.4593	235	312	MGH15	BIDMC19A	contig000002	contig000002	0.7532051282051282
98	99.4593	235	312	MGH15	BIDMC19A	contig000002	contig000002	0.7532051282051282
99	96.4063	4	312	MGH15	MGH121	contig000002	contig000006	0.0128205128205128
99	96.4063	4	312	MGH15	MGH121	contig000002	contig000006	0.0128205128205128
100	95.5454	170	312	MGH15	MGH14	contig000002	contig000002	0.5448717948717948
100	95.5454	170	312	MGH15	MGH14	contig000002	contig000002	0.5448717948717948
101	73.6281	1	312	MGH15	MGH3	contig000002	contig000006	0.0032051282051282
101	73.6281	1	312	MGH15	MGH3	contig000002	contig000006	0.0032051282051282
102	73.6281	1	312	MGH15	MGH14	contig000002	contig000009	0.0032051282051282
102	73.6281	1	312	MGH15	MGH14	contig000002	contig000009	0.0032051282051282
103	100.0	86	86	MGH15	MGH15	contig000003	contig000003	1.0
103	100.0	86	86	MGH15	MGH15	contig000003	contig000003	1.0
104	97.3283	63	86	MGH15	MGH83	contig000003	contig000004	0.7325581395348837
104	97.3283	63	86	MGH15	MGH83	contig000003	contig000004	0.7325581395348837
105	97.1549	52	86	MGH15	UCI147	contig000003	contig000002	0.6046511627906976
105	97.1549	52	86	MGH15	UCI147	contig000003	contig000002	0.6046511627906976
106	97.0226	64	86	MGH15	MGH283	contig000003	contig000002	0.7441860465116279
106	97.0226	64	86	MGH15	MGH283	contig000003	contig000002	0.7441860465116279
107	97.003	64	86	MGH15	MGH39	contig000003	contig000003	0.7441860465116279
107	97.003	64	86	MGH15	MGH39	contig000003	contig000003	0.7441860465116279
108	96.9327	65	86	MGH15	MGH105	contig000003	contig000003	0.7558139534883721
108	96.9327	65	86	MGH15	MGH105	contig000003	contig000003	0.7558139534883721
109	96.6647	66	86	MGH15	MGH281c	contig000003	contig000002	0.7674418604651163
109	96.6647	66	86	MGH15	MGH281c	contig000003	contig000002	0.7674418604651163
110	96.6221	46	86	MGH15	MGH279	contig000003	contig000003	0.5348837209302325
110	96.6221	46	86	MGH15	MGH279	contig000003	contig000003	0.5348837209302325
111	96.6221	46	86	MGH15	MGH281	contig000003	contig000003	0.5348837209302325
111	96.6221	46	86	MGH15	MGH281	contig000003	contig000003	0.5348837209302325
112	96.3098	48	86	MGH15	UCI148	contig000003	contig000002	0.5581395348837209
112	96.3098	48	86	MGH15	UCI148	contig000003	contig000002	0.5581395348837209
113	95.4141	52	86	MGH15	MGH197	contig000003	contig000003	0.6046511627906976
113	95.4141	52	86	MGH15	MGH197	contig000003	contig000003	0.6046511627906976
114	95.3615	53	86	MGH15	MGH14	contig000003	contig000003	0.6162790697674418
114	95.3615	53	86	MGH15	MGH14	contig000003	contig000003	0.6162790697674418
115	94.8096	55	86	MGH15	MGH3	contig000003	contig000002	0.6395348837209303
115	94.8096	55	86	MGH15	MGH3	contig000003	contig000002	0.6395348837209303
116	89.1262	46	86	MGH15	UCI93	contig000003	contig000002	0.5348837209302325
116	89.1262	46	86	MGH15	UCI93	contig000003	contig000002	0.5348837209302325
117	100.0	76	76	MGH15	MGH15	contig000004	contig000004	1.0
117	100.0	76	76	MGH15	MGH15	contig000004	contig000004	1.0
118	93.05	25	76	MGH15	UCI105	contig000004	contig000005	0.3289473684210526
118	93.05	25	76	MGH15	UCI105	contig000004	contig000005	0.3289473684210526
119	92.4119	25	76	MGH15	UCI75	contig000004	contig000004	0.3289473684210526
119	92.4119	25	76	MGH15	UCI75	contig000004	contig000004	0.3289473684210526
120	100.0	236	241	MGH3	MGH3	contig000002	contig000002	0.979253112033195
120	100.0	236	241	MGH3	MGH3	contig000002	contig000002	0.979253112033195
121	99.9967	196	241	MGH3	MGH197	contig000002	contig000003	0.8132780082987552
121	99.9967	196	241	MGH3	MGH197	contig000002	contig000003	0.8132780082987552
122	99.9951	197	241	MGH3	MGH14	contig000002	contig000003	0.8174273858921162
122	99.9951	197	241	MGH3	MGH14	contig000002	contig000003	0.8174273858921162
123	98.491	59	241	MGH3	MGH281	contig000002	contig000003	0.2448132780082987
123	98.491	59	241	MGH3	MGH281	contig000002	contig000003	0.2448132780082987
124	98.491	59	241	MGH3	MGH279	contig000002	contig000003	0.2448132780082987
124	98.491	59	241	MGH3	MGH279	contig000002	contig000003	0.2448132780082987
125	97.2073	68	241	MGH3	MGH83	contig000002	contig000004	0.2821576763485477
125	97.2073	68	241	MGH3	MGH83	contig000002	contig000004	0.2821576763485477
126	97.1548	73	241	MGH3	MGH283	contig000002	contig000002	0.3029045643153527
126	97.1548	73	241	MGH3	MGH283	contig000002	contig000002	0.3029045643153527
127	97.1518	69	241	MGH3	MGH105	contig000002	contig000003	0.2863070539419087
127	97.1518	69	241	MGH3	MGH105	contig000002	contig000003	0.2863070539419087
128	97.1484	68	241	MGH3	UCI148	contig000002	contig000002	0.2821576763485477
128	97.1484	68	241	MGH3	UCI148	contig000002	contig000002	0.2821576763485477
129	96.8564	68	241	MGH3	MGH39	contig000002	contig000003	0.2821576763485477
129	96.8564	68	241	MGH3	MGH39	contig000002	contig000003	0.2821576763485477
130	95.7509	3	241	MGH3	MGH113	contig000002	contig000006	0.0124481327800829
130	95.7509	3	241	MGH3	MGH113	contig000002	contig000006	0.0124481327800829
131	95.6546	65	241	MGH3	UCI147	contig000002	contig000002	0.2697095435684647
131	95.6546	65	241	MGH3	UCI147	contig000002	contig000002	0.2697095435684647
132	94.7682	53	241	MGH3	MGH15	contig000002	contig000003	0.2199170124481327
132	94.7682	53	241	MGH3	MGH15	contig000002	contig000003	0.2199170124481327
133	89.8501	3	241	MGH3	MGH121	contig000002	contig000006	0.0124481327800829
133	89.8501	3	241	MGH3	MGH121	contig000002	contig000006	0.0124481327800829
134	87.8451	21	241	MGH3	UCI75	contig000002	contig000004	0.0871369294605809
134	87.8451	21	241	MGH3	UCI75	contig000002	contig000004	0.0871369294605809
135	87.3852	23	241	MGH3	UCI105	contig000002	contig000005	0.0954356846473029
135	87.3852	23	241	MGH3	UCI105	contig000002	contig000005	0.0954356846473029
136	73.8622	1	241	MGH3	MGH121	contig000002	contig000010	0.0041493775933609
136	73.8622	1	241	MGH3	MGH121	contig000002	contig000010	0.0041493775933609
137	100.0	4	4	MGH3	MGH3	contig000003	contig000003	1.0
137	100.0	4	4	MGH3	MGH3	contig000003	contig000003	1.0
138	100.0	3	4	MGH3	MGH14	contig000003	contig000006	0.75
138	100.0	3	4	MGH3	MGH14	contig000003	contig000006	0.75
139	100.0	4	4	MGH3	MGH3	contig000004	contig000004	1.0
139	100.0	4	4	MGH3	MGH3	contig000004	contig000004	1.0
140	99.7032	4	4	MGH3	MGH14	contig000004	contig000007	1.0
140	99.7032	4	4	MGH3	MGH14	contig000004	contig000007	1.0
141	100.0	3	3	MGH3	MGH3	contig000005	contig000005	1.0
141	100.0	3	3	MGH3	MGH3	contig000005	contig000005	1.0
142	100.0	3	3	MGH3	MGH14	contig000005	contig000008	1.0
142	100.0	3	3	MGH3	MGH14	contig000005	contig000008	1.0
143	99.8878	2	3	MGH3	MGH121	contig000005	contig000008	0.6666666666666666
143	99.8878	2	3	MGH3	MGH121	contig000005	contig000008	0.6666666666666666
144	98.9596	2	3	MGH3	BWH57	contig000005	contig000005	0.6666666666666666
144	98.9596	2	3	MGH3	BWH57	contig000005	contig000005	0.6666666666666666
145	98.9596	2	3	MGH3	BWH56	contig000005	contig000005	0.6666666666666666
145	98.9596	2	3	MGH3	BWH56	contig000005	contig000005	0.6666666666666666
146	89.9789	2	3	MGH3	BIDMC100	contig000005	contig000005	0.6666666666666666
146	89.9789	2	3	MGH3	BIDMC100	contig000005	contig000005	0.6666666666666666
147	88.8429	2	3	MGH3	MGH37	contig000005	contig000004	0.6666666666666666
147	88.8429	2	3	MGH3	MGH37	contig000005	contig000004	0.6666666666666666
148	87.9243	2	3	MGH3	UCI75	contig000005	contig000006	0.6666666666666666
148	87.9243	2	3	MGH3	UCI75	contig000005	contig000006	0.6666666666666666
149	85.7484	2	3	MGH3	MGH37	contig000005	contig000003	0.6666666666666666
149	85.7484	2	3	MGH3	MGH37	contig000005	contig000003	0.6666666666666666
150	85.0949	1	3	MGH3	MGH113	contig000005	contig000007	0.3333333333333333
150	85.0949	1	3	MGH3	MGH113	contig000005	contig000007	0.3333333333333333
151	84.9707	3	3	MGH3	UCI93	contig000005	contig000006	1.0
151	84.9707	3	3	MGH3	UCI93	contig000005	contig000006	1.0
152	84.7646	3	3	MGH3	UCI105	contig000005	contig000008	1.0
152	84.7646	3	3	MGH3	UCI105	contig000005	contig000008	1.0
153	84.2143	2	3	MGH3	MGH7	contig000005	contig000004	0.6666666666666666
153	84.2143	2	3	MGH3	MGH7	contig000005	contig000004	0.6666666666666666
154	83.855	2	3	MGH3	UCI93	contig000005	contig000005	0.6666666666666666
154	83.855	2	3	MGH3	UCI93	contig000005	contig000005	0.6666666666666666
155	81.7218	1	3	MGH3	BIDMC100	contig000005	contig000006	0.3333333333333333
155	81.7218	1	3	MGH3	BIDMC100	contig000005	contig000006	0.3333333333333333
156	80.5655	3	3	MGH3	UCI193	contig000005	contig000004	1.0
156	80.5655	3	3	MGH3	UCI193	contig000005	contig000004	1.0
157	80.5655	3	3	MGH3	MGH103	contig000005	contig000004	1.0
157	80.5655	3	3	MGH3	MGH103	contig000005	contig000004	1.0
158	79.9659	1	3	MGH3	UCI187	contig000005	contig000005	0.3333333333333333
158	79.9659	1	3	MGH3	UCI187	contig000005	contig000005	0.3333333333333333
159	79.9659	1	3	MGH3	MGH3	contig000005	contig000008	0.3333333333333333
159	79.9659	1	3	MGH3	MGH3	contig000005	contig000008	0.3333333333333333
160	79.9659	1	3	MGH3	BWH50	contig000005	contig000006	0.3333333333333333
160	79.9659	1	3	MGH3	BWH50	contig000005	contig000006	0.3333333333333333
161	79.2486	2	3	MGH3	MGH121	contig000005	contig000010	0.6666666666666666
161	79.2486	2	3	MGH3	MGH121	contig000005	contig000010	0.6666666666666666
162	78.4058	3	3	MGH3	UCI147	contig000005	contig000003	1.0
162	78.4058	3	3	MGH3	UCI147	contig000005	contig000003	1.0
163	77.6904	1	3	MGH3	MGH3	contig000005	contig000007	0.3333333333333333
163	77.6904	1	3	MGH3	MGH3	contig000005	contig000007	0.3333333333333333
164	77.5621	2	3	MGH3	BWH50	contig000005	contig000003	0.6666666666666666
164	77.5621	2	3	MGH3	BWH50	contig000005	contig000003	0.6666666666666666
165	77.4741	1	3	MGH3	BIDMC100	contig000005	contig000007	0.3333333333333333
165	77.4741	1	3	MGH3	BIDMC100	contig000005	contig000007	0.3333333333333333
166	76.6842	2	3	MGH3	MGH103	contig000005	contig000005	0.6666666666666666
166	76.6842	2	3	MGH3	MGH103	contig000005	contig000005	0.6666666666666666
167	76.6842	2	3	MGH3	UCI105	contig000005	contig000007	0.6666666666666666
167	76.6842	2	3	MGH3	UCI105	contig000005	contig000007	0.6666666666666666
168	76.6842	2	3	MGH3	UCI179	contig000005	contig000002	0.6666666666666666
168	76.6842	2	3	MGH3	UCI179	contig000005	contig000002	0.6666666666666666
169	76.6842	2	3	MGH3	MGH121	contig000005	contig000006	0.6666666666666666
169	76.6842	2	3	MGH3	MGH121	contig000005	contig000006	0.6666666666666666
170	75.4383	2	3	MGH3	BIDMC87	contig000005	contig000002	0.6666666666666666
170	75.4383	2	3	MGH3	BIDMC87	contig000005	contig000002	0.6666666666666666
171	75.4383	2	3	MGH3	MGH193	contig000005	contig000005	0.6666666666666666
171	75.4383	2	3	MGH3	MGH193	contig000005	contig000005	0.6666666666666666
172	73.4024	1	3	MGH3	BIDMC87	contig000005	contig000003	0.3333333333333333
172	73.4024	1	3	MGH3	BIDMC87	contig000005	contig000003	0.3333333333333333
173	100.0	2	2	MGH3	MGH3	contig000006	contig000006	1.0
173	100.0	2	2	MGH3	MGH3	contig000006	contig000006	1.0
174	100.0	1	2	MGH3	MGH14	contig000006	contig000009	0.5
174	100.0	1	2	MGH3	MGH14	contig000006	contig000009	0.5
175	73.3144	1	2	MGH3	BIDMC108	contig000006	contig000002	0.5
175	73.3144	1	2	MGH3	BIDMC108	contig000006	contig000002	0.5
176	73.2708	1	2	MGH3	BIDMC19A	contig000006	contig000002	0.5
176	73.2708	1	2	MGH3	BIDMC19A	contig000006	contig000002	0.5
177	73.2708	1	2	MGH3	MGH15	contig000006	contig000002	0.5
177	73.2708	1	2	MGH3	MGH15	contig000006	contig000002	0.5
178	73.2708	1	2	MGH3	UCI193	contig000006	contig000002	0.5
178	73.2708	1	2	MGH3	UCI193	contig000006	contig000002	0.5
179	73.2708	1	2	MGH3	BIDMC108	contig000006	contig000003	0.5
179	73.2708	1	2	MGH3	BIDMC108	contig000006	contig000003	0.5
